county_id,ba,nercregion
801,p18,NWPP
802,p58,MISS
803,p122,PJME
804,p46,MISW
805,p51,SPPS
806,p46,MISW
807,p38,SPPN
808,p80,PJMC
809,p64,TRE
810,p38,SPPN
811,p34,RMRG
812,p112,PJMW
813,p18,NWPP
814,p52,SPPC
815,p38,SPPN
816,p53,SPPC
817,p112,PJMW
818,p60,TRE
819,p53,SPPC
820,p127,NYUP
821,p31,SRSG
822,p94,SRSE
823,p53,SPPC
824,p37,MISW
825,p122,PJME
826,p127,NYUP
827,p99,PJMD
828,p108,SRCE
829,p96,SRCA
830,p84,MISC
831,p63,TRE
832,p129,ISNE
833,p98,SRCA
834,p103,MISE
835,p25,BASN
836,p122,PJMW
837,p63,TRE
838,p97,SRCA
839,p31,SRSG
840,p63,TRE
841,p126,PJME
842,p89,SRSE
843,p109,SRCE
844,p123,PJME
845,p87,MISS
846,p66,TRE
847,p98,PJMD
848,p66,TRE
849,p94,SRSE
850,p37,SPPN
851,p57,SPPS
852,p56,SPPS
853,p127,NYUP
854,p33,RMRG
855,p115,PJMW
856,p63,TRE
857,p66,MISS
858,p99,PJME
859,p53,SPPC
860,p1,NWPP
861,p109,SRCE
862,p87,MISS
863,p71,MISC
864,p53,SPPC
865,p134,ISNE
866,p38,SPPN
867,p85,MISS
868,p92,SRCE
869,p127,NYUP
870,p90,SRSE
871,p38,SPPN
872,p101,FRCC
873,p118,PJMD
874,p102,FRCC
875,p97,SRCA
876,p87,MISS
877,p103,MISE
878,p50,SPPS
879,p118,PJMW
880,p14,NWPP
881,p70,MISW
882,p50,SPPS
883,p63,TRE
884,p81,MISC
885,p122,PJME
886,p97,SRCA
887,p45,SPPN
888,p103,MISE
889,p85,MISS
890,p112,PJMW
891,p103,MISE
892,p94,SRSE
893,p83,MISC
894,p94,SRSE
895,p38,SPPN
896,p90,SRSE
897,p99,PJMW
898,p87,SRSE
899,p62,TRE
900,p25,BASN
901,p118,PJMD
902,p40,SPPN
903,p63,TRE
904,p38,SPPN
905,p122,PJME
906,p50,SPPS
907,p58,MISS
908,p51,SPPS
909,p92,SRCE
910,p101,FRCC
911,p97,SRCA
912,p5,NWPP
913,p99,PJMD
914,p83,MISC
915,p84,MISC
916,p131,ISNE
917,p40,SPPN
918,p36,SPPN
919,p116,PJMW
920,p96,SRCA
921,p58,MISS
922,p54,SPPC
923,p45,SPPN
924,p96,SRCA
925,p94,SRSE
926,p127,NYUP
927,p95,SRCA
928,p99,PJMD
929,p36,SPPN
930,p92,SRCE
931,p101,FRCC
932,p116,PJMW
933,p55,SPPC
934,p118,PJMD
935,p60,TRE
936,p36,SPPN
937,p40,SPPN
938,p111,PJMW
939,p58,SPPS
940,p9,CANO
941,p92,SRCE
942,p116,PJMW
943,p58,MISS
944,p13,SRSG
945,p93,SRCE
946,p102,FRCC
947,p33,RMRG
948,p80,PJMC
949,p102,FRCC
950,p5,NWPP
951,p118,PJMW
952,p33,RMRG
953,p40,SPPN
954,p85,MISS
955,p34,RMRG
956,p54,SPPC
957,p63,TRE
958,p73,MISC
959,p87,SRSE
960,p80,MISW
961,p99,PJMD
962,p9,CANO
963,p131,ISNE
964,p92,SRCE
965,p84,MISC
966,p94,SRSE
967,p18,NWPP
968,p31,SRSG
969,p88,SRCE
970,p105,PJMW
971,p71,MISC
972,p84,SPPC
973,p103,MISE
974,p127,NYUP
975,p51,SPPS
976,p94,SRSE
977,p90,SRSE
978,p29,SRSG
979,p56,SPPS
980,p79,MISW
981,p111,PJMW
982,p130,ISNE
983,p93,SRCE
984,p94,SRSE
985,p77,MISW
986,p94,SRSE
987,p122,PJME
988,p70,MISW
989,p133,ISNE
990,p127,NYUP
991,p40,SPPN
992,p82,MISC
993,p126,PJME
994,p123,PJME
995,p61,TRE
996,p63,TRE
997,p101,FRCC
998,p85,MISS
999,p89,SRSE
1000,p109,SRCE
1001,p94,SRCE
1002,p63,TRE
1003,p46,MISW
1004,p61,TRE
1005,p118,PJMW
1006,p37,SPPN
1007,p94,SRSE
1008,p130,ISNE
1009,p92,SRCE
1010,p45,SPPN
1011,p64,MISS
1012,p103,MISW
1013,p63,TRE
1014,p48,SPPS
1015,p30,SRSG
1016,p115,PJMW
1017,p48,SPPS
1018,p87,SRSE
1019,p107,MISC
1020,p43,SPPN
1021,p31,SRSG
1022,p38,SPPN
1023,p90,SRSE
1024,p88,SRCE
1025,p43,MISW
1026,p65,TRE
1027,p105,MISC
1028,p60,TRE
1029,p97,SRCA
1030,p116,PJMW
1031,p32,RMRG
1032,p63,TRE
1033,p92,SRCE
1034,p94,SRSE
1035,p53,SPPC
1036,p94,SRSE
1037,p109,SRCE
1038,p111,PJMW
1039,p103,MISE
1040,p54,SPPC
1041,p118,PJMW
1042,p5,NWPP
1043,p2,NWPP
1044,p109,SRCE
1045,p40,SPPN
1046,p54,SPPC
1047,p60,TRE
1048,p98,SRCA
1049,p116,PJMW
1050,p112,PJMW
1051,p48,SPPS
1052,p98,PJMD
1053,p94,SRSE
1054,p94,SRSE
1055,p61,TRE
1056,p94,SRSE
1057,p54,MISC
1058,p70,MISW
1059,p10,CASO
1060,p69,MISW
1061,p5,NWPP
1062,p39,SPPN
1063,p36,SPPN
1064,p20,NWPP
1065,p92,SRCE
1066,p98,PJMD
1067,p112,PJMW
1068,p50,SPPS
1069,p53,SPPC
1070,p42,MISW
1071,p58,MISS
1072,p128,NYCW
1073,p106,PJMW
1074,p107,MISC
1075,p116,PJMW
1076,p72,MISC
1077,p38,SPPN
1078,p112,PJMW
1079,p99,PJMD
1080,p94,SRSE
1081,p18,NWPP
1082,p92,SRCE
1083,p54,SPPC
1084,p5,NWPP
1085,p10,CASO
1086,p45,SPPN
1087,p105,PJMW
1088,p40,SPPN
1089,p105,PJMW
1090,p81,MISC
1091,p103,MISE
1092,p88,SRCE
1093,p49,SPPS
1094,p25,BASN
1095,p9,CASO
1096,p58,SPPS
1097,p65,TRE
1098,p37,SPPN
1099,p25,BASN
1100,p110,PJMW
1101,p94,SRSE
1102,p41,SPPN
1103,p9,CANO
1104,p63,TRE
1105,p53,SPPC
1106,p26,BASN
1108,p63,TRE
1109,p35,NWPP
1110,p92,SRCE
1111,p99,PJMD
1112,p70,MISW
1113,p85,MISS
1114,p112,PJMW
1115,p70,MISW
1116,p16,BASN
1117,p9,CANO
1118,p92,SRCE
1119,p53,SPPC
1120,p112,PJMW
1121,p104,PJMW
1122,p79,MISW
1123,p85,MISS
1124,p70,MISW
1125,p38,SPPN
1126,p109,SRCE
1127,p72,MISC
1128,p92,SRCE
1129,p65,TRE
1130,p112,PJMW
1131,p98,SRCA
1132,p24,RMRG
1134,p85,MISS
1135,p103,MISE
1136,p36,SPPN
1137,p83,MISC
1138,p127,NYCW
1139,p65,TRE
1140,p42,MISW
1141,p97,SRCA
1142,p43,MISW
1143,p109,SRCE
1144,p40,SPPN
1145,p85,MISS
1146,p132,ISNE
1147,p127,NYUP
1148,p102,FRCC
1149,p40,SPPN
1150,p72,MISC
1151,p97,SRCA
1152,p48,SPPS
1153,p55,SPPC
1154,p117,PJMW
1156,p98,SRCA
1157,p129,ISNE
1158,p94,SRSE
1159,p101,FRCC
1160,p98,SRCA
1161,p43,MISW
1162,p88,SRCE
1163,p68,MISW
1164,p50,SPPS
1165,p123,PJME
1166,p103,MISE
1167,p99,PJMD
1168,p31,SRSG
1169,p98,SRCA
1170,p70,MISW
1171,p87,MISS
1172,p54,MISC
1173,p98,SRCA
1174,p81,MISC
1175,p94,SRSE
1176,p94,SRSE
1177,p123,PJME
1178,p10,CASO
1179,p96,SRCA
1180,p99,PJMD
1181,p94,SRSE
1182,p53,SPPC
1183,p94,SRSE
1184,p127,NYUP
1185,p72,MISC
1186,p101,FRCC
1187,p56,SPPS
1188,p33,RMRG
1189,p39,RMRG
1190,p122,PJME
1191,p76,MISW
1193,p69,MISW
1194,p52,SPPC
1195,p43,MISW
1196,p94,SRSE
1197,p88,SRCE
1198,p119,PJME
1199,p53,SPPC
1200,p126,PJME
1201,p58,MISS
1202,p122,PJME
1203,p33,RMRG
1204,p56,SPPS
1205,p45,SPPN
1206,p127,NYUP
1207,p74,MISW
1208,p92,SRCE
1209,p112,PJMW
1210,p95,SRCA
1211,p97,SRCA
1212,p127,NYUP
1213,p81,MISC
1214,p98,SRCA
1215,p40,SPPN
1216,p4,NWPP
1217,p5,NWPP
1218,p97,SRCA
1219,p103,MISE
1220,p45,MISW
1221,p41,SPPN
1222,p109,SRCE
1223,p97,SRCA
1224,p81,MISC
1225,p50,SPPS
1226,p112,PJMW
1227,p91,SRSE
1228,p127,NYUP
1229,p99,PJMD
1230,p116,PJMW
1231,p71,MISC
1233,p12,BASN
1234,p89,SRSE
1235,p9,CANO
1236,p112,PJMW
1237,p60,TRE
1238,p117,PJMW
1239,p107,MISC
1240,p92,SRCE
1241,p53,SPPC
1242,p97,SRCA
1243,p109,SRCE
1244,p16,BASN
1245,p98,SRCA
1246,p92,SRCE
1247,p9,CANO
1248,p2,NWPP
1249,p98,SRCA
1250,p87,MISS
1251,p65,TRE
1252,p85,MISS
1253,p70,MISW
1254,p58,MISS
1255,p83,MISC
1256,p55,SPPC
1257,p38,SPPN
1258,p72,MISC
1259,p37,SPPN
1260,p25,BASN
1261,p85,MISS
1262,p9,CANO
1263,p63,TRE
1264,p3,NWPP
1265,p58,MISS
1266,p15,BASN
1267,p95,SRCA
1268,p99,PJMD
1269,p31,SRSG
1270,p94,SRSE
1271,p34,RMRG
1272,p93,SRCE
1273,p72,MISC
1274,p63,TRE
1275,p113,PJMW
1276,p76,MISW
1277,p9,CANO
1278,p38,SPPN
1279,p105,MISC
